id,category,dimension,sentence,emotion
1,彩电,平台,全部带有发票,好评
2,彩电,平台,全部带有发票,好评
3,彩电,平台,正规发票,好评
4,彩电,平台,正规发票,好评
5,彩电,平台,正品有发票,好评
6,彩电,平台,正品有发票,好评
7,彩电,平台,全部带有发票,好评
8,彩电,平台,全部带有发票,好评
9,彩电,平台,发票收到,好评
10,彩电,平台,发票收到,好评
11,彩电,平台,发票齐全,好评
12,彩电,平台,发票齐全,好评
13,彩电,平台,正规发票,好评
14,彩电,平台,正规发票,好评
15,彩电,平台,发票正规,好评
16,彩电,平台,发票正规,好评
17,彩电,平台,电子发票好,好评
18,彩电,平台,电子发票好,好评
19,彩电,平台,正品有发票,好评
20,彩电,平台,正品有发票,好评
21,彩电,平台,发票和快递单一起来的,好评
22,彩电,平台,发票和快递单一起来的,好评
23,彩电,平台,发票俱全,好评
24,彩电,平台,发票俱全,好评
25,彩电,平台,正规发票,好评
26,彩电,平台,正规发票,好评
27,彩电,平台,发票齐全,好评
28,彩电,平台,发票齐全,好评
29,彩电,平台,正品有发票,好评
30,彩电,平台,正品有发票,好评
31,彩电,平台,正品有发票,好评
32,彩电,平台,发票俱全,好评
33,彩电,平台,发票俱全,好评
34,彩电,平台,怎么没有发票,差评
35,彩电,平台,怎么没有发票,差评
36,彩电,平台,没有发票,差评
37,彩电,平台,没有发票,差评
38,彩电,平台,没给开发票,差评
39,彩电,平台,没给开发票,差评
40,彩电,平台,发票也不给,差评
41,彩电,平台,发票也不给,差评
42,彩电,平台,发票也不给,差评
43,彩电,平台,发票又没有送过来,差评
44,彩电,平台,发票又没有送过来,差评
45,彩电,平台,发票这么就还没送来,差评
46,彩电,平台,发票这么就还没送来,差评
47,彩电,平台,里面没发票,差评
48,彩电,平台,里面没发票,差评
49,彩电,平台,还没有开发票,差评
50,彩电,平台,还没有开发票,差评
51,彩电,平台,发票没有随机,差评
52,彩电,平台,发票没有随机,差评
53,彩电,平台,不给发票,差评
54,彩电,平台,不给发票,差评
55,彩电,平台,关键是没有发票,差评
56,彩电,平台,关键是没有发票,差评
57,彩电,平台,没寄发票,差评
58,彩电,平台,没寄发票,差评
59,彩电,平台,没有给我发票,差评
60,彩电,平台,没有给我发票,差评
61,彩电,平台,发票还没到,差评
62,彩电,平台,发票还没到,差评
63,彩电,平台,发票没给,差评
64,彩电,平台,发票没给,差评
