id,category,dimension,sentence,emotion
1,彩电,业务,产品不错,好评
2,彩电,业务,功能很多,好评
3,彩电,业务,功能很多,好评
4,彩电,业务,功能强大,好评
5,彩电,业务,很好很不错的产品,好评
6,彩电,业务,产品不错,好评
7,彩电,业务,电视挺不错,好评
8,彩电,业务,功能多,好评
9,彩电,业务,产品一流,好评
10,彩电,业务,电视挺不错的,好评
11,彩电,业务,功能齐全,好评
12,彩电,业务,功能强大,好评
13,彩电,业务,电视挺不错.功能很多,好评
14,彩电,业务,功能齐全,好评
15,彩电,业务,功能强大,好评
16,彩电,业务,电视真的很好,好评
17,彩电,业务,功能强大,好评
18,彩电,业务,电视功能齐全,好评
19,彩电,业务,电视真的很好,好评
20,彩电,业务,功能强大,好评
21,彩电,业务,很好的产品,好评
22,彩电,业务,商品不错,好评
23,彩电,业务,感觉产品不错,好评
24,彩电,业务,感觉产品好,好评
25,彩电,业务,产品也还行,中评
26,彩电,业务,功能全,好评
27,彩电,业务,产品没得说,好评
28,彩电,业务,产品值得信赖,好评
29,彩电,业务,产品好,好评
30,彩电,业务,功能全,好评
31,彩电,业务,功能很齐全,好评
32,彩电,业务,功能也很齐全,好评
33,彩电,业务,功能全,好评
34,彩电,业务,功能齐全,好评
35,彩电,业务,产品很不错,好评
36,彩电,业务,产品一流,好评
37,彩电,业务,产品量信得过,好评
38,彩电,业务,产品有保证,好评
39,彩电,业务,电视是不错的,好评
40,彩电,业务,非常棒的电视,好评
41,彩电,业务,好的产品,好评
42,彩电,业务,功能很齐全,好评
43,彩电,业务,不错的产品,好评
44,彩电,业务,电视机非常不错,好评
45,彩电,业务,产品也不错,好评
46,彩电,业务,唯一一件这么失望至极的产品,差评
47,彩电,业务,产品很棒,好评
48,彩电,业务,功能全,好评
49,彩电,业务,功能实用,好评
50,彩电,业务,很好的一款产品,好评
51,彩电,业务,产品很好,好评
52,彩电,业务,功能全,好评
53,彩电,业务,名牌产品,好评
54,彩电,业务,产品超赞,好评
55,彩电,业务,功能全,好评
56,彩电,业务,产品很好,好评
57,彩电,业务,产品高大上,好评
58,彩电,业务,非常不错的一款电视,好评
59,彩电,业务,产品很好,好评
60,彩电,业务,真心不错的产品,好评
61,彩电,业务,产品有保证,好评
62,彩电,业务,产品很贴心,好评
63,彩电,业务,产品很好,好评
64,彩电,业务,商品很给力,好评
65,彩电,业务,商品也不错,好评
66,彩电,业务,产品很好,好评
67,彩电,业务,产品不好,差评
68,彩电,业务,产品也还不错的,好评
69,彩电,业务,功能不错,好评
70,彩电,业务,产品不错,好评
71,彩电,业务,产品很好,好评
72,彩电,业务,非常不错的产品,好评
73,彩电,业务,值得购买的一款产品,好评
74,彩电,业务,产品非常的好,好评
75,彩电,业务,各方面都还不错,好评
76,彩电,业务,一直信赖小米的产品,好评
77,彩电,业务,产品没问题,好评
78,彩电,业务,产品棒,好评
79,彩电,业务,信得过的产品,好评
80,彩电,业务,产品设计不错,好评
81,彩电,业务,对产品满意,好评
82,彩电,业务,产品完好,好评
83,彩电,业务,很好的产品哦,好评
84,彩电,业务,智能电视功能多,好评
85,彩电,业务,产品还是挺好的,好评
86,彩电,业务,产品还是很不错的,好评
87,彩电,业务,品牌产品值得信赖,好评
88,彩电,业务,产品一般般,中评
89,彩电,业务,一线产品,好评
90,彩电,业务,信得过产品,好评
91,彩电,业务,产品很给力,好评
92,彩电,业务,产品特别满意,好评
93,彩电,业务,一直信赖海尔的产品,好评
94,彩电,业务,值得信赖的一款电视,好评
95,彩电,业务,产品不行,差评
96,彩电,业务,产品比较满意,中评
97,彩电,业务,很值得信赖的产品,好评
98,彩电,业务,功能较全,好评
99,彩电,业务,产品给力,好评
100,彩电,业务,不错的一款产品,好评
101,彩电,业务,产品还好,好评
102,彩电,业务,产品过硬,好评
103,彩电,业务,非常好用的产品,好评
104,彩电,业务,索尼的产品就是好,好评
105,彩电,业务,是我喜欢的产品,好评
106,彩电,业务,真正的好产品,好评
107,彩电,业务,国产品也是很好的,好评
108,彩电,业务,产品不错喔,好评
109,彩电,业务,够买的产品还可以,中评
110,彩电,业务,高端产品,好评
111,彩电,业务,产品本身还是很不错的,好评
112,彩电,业务,产品很差,差评
113,彩电,业务,产品没的说,好评
114,彩电,业务,值得购买的好产品,好评
115,彩电,业务,值得信赖产品,好评
116,彩电,业务,酷开的产品真的不错,好评
117,彩电,业务,不愧是大牌产品,好评
118,彩电,业务,经济适用型的,好评
119,彩电,业务,产品真的很不错,好评
120,彩电,业务,产品很漂亮,好评
121,彩电,业务,产品值得信赖,好评
122,彩电,业务,大牌鲜艳,好评
123,彩电,业务,产品超好,好评
124,彩电,业务,产品非常好用,好评
125,彩电,业务,非常不错的一款产品,好评
126,彩电,业务,产品非常漂亮,好评
127,彩电,业务,这个产品还不错,好评
128,彩电,业务,不错的产品,好评
129,彩电,业务,智能电视的基本功能都具备,好评
130,彩电,业务,好产品值得拥有,好评
131,彩电,业务,是一款很好的产品,好评
132,彩电,业务,米米粉的钟爱和佳选择的呢,好评
133,彩电,业务,值得推荐的一款好产品,好评
134,彩电,业务,老牌大厂的产品就是好,好评
135,彩电,业务,一直购买小米的产品,好评
136,彩电,业务,能买到这么超值的产品,好评
137,彩电,业务,非常超值的一款产品,好评
138,彩电,业务,功能强大很好,好评
139,彩电,业务,买电视就是买屏,好评
140,彩电,业务,产品不错哦,好评
141,彩电,业务,三星产品还可以,中评
142,彩电,业务,产品性能不错,好评
143,彩电,业务,这个产品不错,好评
144,彩电,业务,名牌产品值得信赖,好评
145,彩电,业务,很成熟的产品系列,好评
146,彩电,业务,真正的超级电视,好评
147,彩电,业务,高档产品,好评
148,彩电,业务,电视非常完美,好评
149,彩电,业务,智能电视功能强大,好评
150,彩电,业务,这款产品也太奇葩了,好评
151,彩电,业务,电视机是很好的,好评
152,彩电,业务,产品真的太好了,好评
153,彩电,业务,海尔的产品值得信赖,好评
154,彩电,业务,对产品也比较满意,中评
155,彩电,业务,中规中矩的产品,中评
156,彩电,业务,产品是一流的,好评
157,彩电,业务,小米电视效果不错,好评
158,彩电,业务,满意产品,好评
159,彩电,业务,产品整体不错,好评
160,彩电,业务,对产品比较满意,中评
161,彩电,业务,产品正宗,好评
162,彩电,业务,不愧是液晶之父的产品,好评
163,彩电,业务,产品高清,好评
164,彩电,业务,很超值的产品,好评
165,彩电,业务,小米产品不错,好评
166,彩电,业务,索尼产品就是好,好评
167,彩电,业务,挺好产品不错,好评
168,彩电,业务,产品也还行,中评
169,彩电,业务,产品比较喜欢,中评
170,彩电,业务,产品也很好看,好评
171,彩电,业务,产品也就那样,中评
172,彩电,业务,产品也很不错的,好评
173,彩电,业务,是和同价位竞争对手拉开了一定差距并保持相当优势的,好评
174,彩电,业务,产品有保障,好评
175,彩电,业务,非常满意此产品,好评
176,彩电,业务,海尔的产品还是值得信赖,好评
177,彩电,业务,唯一一件这么失望至极的产品,差评
178,彩电,业务,产品不好,差评
179,彩电,业务,功能比较鸡肋,中评
180,彩电,业务,产品一般,中评
181,彩电,业务,商品一般,中评
182,彩电,业务,产品一般般,中评
183,彩电,业务,产品不行,差评
184,彩电,业务,产品过硬,好评
185,彩电,业务,产品很差,差评
186,彩电,业务,中规中矩的产品,中评
187,彩电,业务,唯一一件这么失望至极的产品,差评
188,彩电,业务,产品不好,差评
189,彩电,业务,功能比较鸡肋,中评
190,彩电,业务,产品一般,中评
191,彩电,业务,商品一般,中评
192,彩电,业务,产品不行,差评
193,彩电,业务,产品过硬,好评
194,彩电,业务,产品很差,差评
195,彩电,业务,挺好的产品,好评
196,彩电,业务,产品还可以,中评
197,彩电,业务,产品非常好,好评
198,彩电,业务,产品地道,好评
199,彩电,业务,非常好的产品,好评
200,彩电,业务,产品可以,好评
201,彩电,业务,确实是良心产品,好评
202,彩电,业务,感觉产品好,好评
203,彩电,业务,产品也还行,中评
204,彩电,业务,功能全,好评
205,彩电,业务,功能很齐全,好评
206,彩电,业务,功能也很齐全,好评
207,彩电,业务,产品很不错,好评
208,彩电,业务,产品一流,好评
209,彩电,业务,电视是不错的,好评
210,彩电,业务,非常棒的电视,好评
211,彩电,业务,好的产品,好评
212,彩电,业务,不错的产品,好评
213,彩电,业务,电视机非常不错,好评
214,彩电,业务,产品也不错,好评
215,彩电,业务,产品很棒,好评
216,彩电,业务,功能实用,好评
217,彩电,业务,很好的一款产品,好评
218,彩电,业务,名牌产品,好评
219,彩电,业务,产品高大上,好评
220,彩电,业务,非常不错的一款电视,好评
221,彩电,业务,真心不错的产品,好评
222,彩电,业务,产品很贴心,好评
223,彩电,业务,商品很给力,好评
224,彩电,业务,商品也不错,好评
225,彩电,业务,产品也很不错,好评
226,彩电,业务,功能不错,好评
227,彩电,业务,非常不错的产品,好评
228,彩电,业务,功能挺多的,好评
229,彩电,业务,产品非常不错,好评
230,彩电,业务,产品很实用,好评
231,彩电,业务,产品还是不错,好评
232,彩电,业务,这个产品很好,好评
233,彩电,业务,产品挺好,好评
234,彩电,业务,产品经久耐用,好评
235,彩电,业务,产品还可以吧,中评
236,彩电,业务,值得信赖的产品,好评
237,彩电,业务,功能好多,好评
238,彩电,业务,产品还行,中评
239,彩电,业务,产品挺不错,好评
240,彩电,业务,产品非常满意,好评
241,彩电,业务,电视机很好啊,好评
242,彩电,业务,我还是比较满意这款产品,中评
243,彩电,业务,产品真心不错,好评
244,彩电,业务,产品很强大,好评
245,彩电,业务,电视是技术是成熟的产品,好评
246,彩电,业务,值得推荐的一款产品,好评
247,彩电,业务,很不错的一款产品,好评
248,彩电,业务,产品挺不错的,好评
249,彩电,业务,产品不错的,好评
250,彩电,业务,很棒的产品,好评
251,彩电,业务,产品挺好的,好评
252,彩电,业务,功能满意,好评
253,彩电,业务,值得购买的产品,好评
254,彩电,业务,值得买的一款产品,好评
255,彩电,业务,产品也很好,好评
256,彩电,业务,非常好的一款产品,好评
257,彩电,业务,正规产品,好评
258,彩电,业务,值得购买的一款产品,好评
259,彩电,业务,产品非常的好,好评
260,彩电,业务,各方面都还不错,好评
261,彩电,业务,一直信赖小米的产品,好评
262,彩电,业务,产品没问题,好评
263,彩电,业务,产品棒,好评
264,彩电,业务,信得过的产品,好评
265,彩电,业务,产品设计不错,好评
266,彩电,业务,对产品满意,好评
267,彩电,业务,产品完好,好评
268,彩电,业务,很好的产品哦,好评
269,彩电,业务,智能电视功能多,好评
270,彩电,业务,产品还是挺好的,好评
271,彩电,业务,产品还是很不错的,好评
272,彩电,业务,品牌产品值得信赖,好评
273,彩电,业务,产品一般般,中评
274,彩电,业务,一线产品,好评
275,彩电,业务,信得过产品,好评
276,彩电,业务,产品很给力,好评
277,彩电,业务,产品特别满意,好评
278,彩电,业务,一直信赖海尔的产品,好评
279,彩电,业务,值得信赖的一款电视,好评
280,彩电,业务,产品比较满意,中评
281,彩电,业务,很值得信赖的产品,好评
282,彩电,业务,功能较全,好评
283,彩电,业务,产品给力,好评
284,彩电,业务,不错的一款产品,好评
285,彩电,业务,产品还好,好评
286,彩电,业务,非常好用的产品,好评
287,彩电,业务,索尼的产品就是好,好评
288,彩电,业务,是我喜欢的产品,好评
289,彩电,业务,真正的好产品,好评
290,彩电,业务,国产品也是很好的,好评
291,彩电,业务,产品不错喔,好评
292,彩电,业务,够买的产品还可以,中评
293,彩电,业务,高端产品,好评
294,彩电,业务,产品本身还是很不错的,好评
295,彩电,业务,值得购买的好产品,好评
296,彩电,业务,值得信赖产品,好评
297,彩电,业务,酷开的产品真的不错,好评
298,彩电,业务,不愧是大牌产品,好评
