sentence_id,sentence,emotion
1,不错,好评
2,非常完美,好评
3,热水器不错,好评
4,非常棒,好评
5,"热水器待试用后补图片很评价&hellip;&hellip;",中评
6,1234567890,中评
7,只要有耐心和生活常识就可以,中评
8,就是需要消耗些时间,中评
9,如果赶时间的,中评
10,等使用后,中评
11,这是一次很满意的购物,好评
12,好好好好好好好好好好好好好好好好好好好好,好评
13,点赞,好评
14,不错哦,好评
15,非常好,好评
16,货刚收到,中评
17,热水器挺好的,好评
18,不错价格便宜,好评
19,以后还会在京东买家电,好评
20,还不错,好评
21,而且打孔时打在了承重钢筋上,差评
22,不知道有没有影响,中评
23,好好好,好评
24,好,好评
25,还可以,中评
26,我非常信赖,好评
27,热水器用这还行,中评
28,很好用,好评
29,挺好用的,好评
30,还不知道怎么样,中评
31,京东送来后,中评
32,给公司买的,中评
33,还行,中评
34,纠结的买了下来,中评
35,120元搞定,中评
36,给单位新来的志愿者买的,中评
37,哈哈,中评
38,挺满意的,好评
39,干,中评
40,他,中评
41,妹妹,中评
42,家里人说挺好的,好评
43,美的电热水器真不错,好评
44,东西还没用,中评
45,晚上就试试,中评
46,不错不错,好评
47,好评,好评
48,东西不错,好评
49,帮朋友下的,中评
50,希望好吧,中评
51,做推广真心不易,中评
52,希望一切都好吧,中评
53,加油,中评
54,没毛病,好评
55,还行吧,中评
56,很不错,好评
57,全好评,好评
58,除了热水器形状不规则,中评
59,不好吊顶之外,中评
60,其他都不错,好评
61,不错下次还会再买,好评
62,"：收到宝贝很喜欢",好评
63,最好是自己先买好件,中评
64,东西很好,好评
65,比预想的大,中评
66,好好好好好好好好好好,好评
67,电话来说几个工作日后来安装,中评
68,安装非常顺利,好评
69,我一个热水器才三百来块,中评
70,还在装修无法测试,中评
71,挺好的,好评
72,放在出租房里用,中评
73,太好了,好评
74,确认晚了,中评
75,好用,好评
76,等安装时用后再评价,中评
77,东西还不错,好评
78,比史密斯好多了,好评
79,希望能用的久一点,中评
80,真行,中评
81,很喜欢,好评
82,还没有用,中评
83,刚装好,中评
85,感觉不错,中评
86,非常的喜欢,好评
87,大赞的喔,好评
88,刚安装上去几天,中评
89,发现热水器真的太脏了,差评
90,大家看图吧,中评
91,铁的位置擦了好久,差评
92,还是有印,中评
93,还好所有脏的地方都是后面看不到的,中评
94,新房装修还没用,中评
95,希望好用吧,中评
96,等用过之后再追加,中评
97,安装未使用,中评
98,感觉很好,好评
99,把电线打着了,中评
100,然后自己找人剔凿,中评
101,剔了个大坑,中评
102,因为是裸机,中评
103,自己再修补,中评
104,又用的海尔支架,中评
105,成本也就10块钱吧,中评
106,真是悲催,差评
107,非常适合替换老旧坏的热水器使用,好评
108,好是艰辛啊,中评
109,说什么好啊,中评
110,还可以接受,中评
111,买了两三个月了吧,中评
112,先前还好,中评
113,不知道是不是故障前兆,中评
114,半胆略慢些,中评
115,18号买的,中评
116,热水器使用状况良好,好评
117,4至5个人用没有问题,好评
118,相信我,中评
119,但是第一次给送错了,中评
120,后来换回来了,中评
121,完美,好评
122,态度都很好,好评
123,快,好评
124,很好,好评
125,爸爸很满意,好评
126,gagwg,中评
127,j0dgtgampwgmdjtjtgwapj1tmpaj1tgkg,中评
128,其它还行,中评
129,哈哈哈哈哈哈哈哈哈哈好,中评
130,试了一下,中评
131,喜欢,好评
132,五星,好评
133,评价有点晚,中评
134,热水器还行,中评
135,很实用,好评
136,美的热水器确实不错,好评
137,虽运输过程有小损,中评
138,感觉安装的不稳当,中评
139,就为了它太阳能和电两用,中评
140,嗯,中评
141,物超所值,好评
142,在京东购物很舒心,好评
143,足够一家三口使用了,好评
144,很好很好很好,好评
145,就是好,好评
146,大牌,好评
147,也实用,好评
148,用过一段时间了,中评
149,现在目前挺好用的,好评
150,家里自来水出问题了,中评
151,所以还没装呢,中评
152,不知道好坏,中评
153,就是便宜货,中评
154,东西还行,中评
155,换我一张百元**,中评
156,看评价挺好,中评
157,只是零件需要自己配,中评
158,不过小鸭应该不会太差,中评
159,东西好,好评
160,对于家用是足够了,好评
161,非常不错,好评
162,东西还可以,中评
163,刚装还没用,中评
164,暂时没发现什么问题,中评
165,宝贝很好,好评
166,还没有使用,中评
167,给力,好评
168,热水器先安装了,中评
169,感觉还可以,中评
170,家里的大部分电器都是海尔,中评
171,支持国产,中评
172,赞,好评
173,还没用呢,中评
174,喜欢的不得了,好评
175,一次买了两个,中评
176,不过都没使用呢,中评
177,1,中评
178,崇明的房子装修,中评
179,真的还不错,好评
180,还不错吧,好评
181,不错的,好评
182,热水器,中评
183,非常满意,好评
184,没乱收费,中评
185,快占机器的一半价了,中评
186,评价晚了,中评
187,热水器挺好用的,好评
188,一两个人够用了,好评
189,大坑啊,差评
190,好好好好好好,好评
191,顶半台热水器钱了,中评
192,行业潜规则太黑,差评
193,好人啊,好评
194,全家都很喜欢,好评
195,机子安_的不是很平很稳,中评
196,市场上几十块钱就搞定了,中评
197,这里要收百多两百,好评
198,挺好,好评
199,满意,好评
200,给好评,好评
201,真心不错,好评
202,一起买了两个呢,中评
203,不愧是一线品牌,好评
204,看着不错,中评
205,货已收到还没用,中评
206,应该不错吧&hellip;&hellip;,中评
207,热水器很不错,好评
208,反馈挺好的,好评
209,朋友买的,中评
210,估计还可以吧,中评
211,超级大,中评
212,还没使用,中评
213,给差评,差评
214,东西还没有用,中评
215,海尔的东西应该不错,中评
216,好好好gain,好评
217,很好的,好评
218,角阀是自备的,中评
219,5,中评
220,2个铜弯头,中评
221,2个直活接,中评
222,其他问题等入住后使用了再说～～～,中评
223,用了快两个月了,中评
224,非常感谢,好评
225,棒棒哒哒哒,好评
227,热水器一直用海尔,好评
228,机器用了几个月才评价真心不错,好评
229,不过看着还行,中评
230,暂时还未使用,中评
231,用后再补,中评
232,师傅虽然来的晚,中评
233,出租屋用,中评
234,据说不错,中评
235,真心的不错,好评
236,热水器很好,好评
237,下次还在京东购物,好评
238,美的电热水器真心不错,好评
239,昨天下午下非常大的雨,中评
240,辛苦了,好评
241,虽然要收钱,中评
242,不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错,好评
243,太给力了,好评
244,头天晚上下单,中评
245,已使用,中评
246,特别靠谱,好评
247,很棒的,好评
248,可以的就是没配有什么,好评
249,很好用的热水器,好评
250,不错的热水器,好评
251,愉快的一次购物,好评
252,好好好好好好好好好好好好好,好评
253,一般,中评
254,我满意,好评
255,可以,好评
256,确实不错,好评
257,123456789,中评
258,放了很久,中评
259,满意的一次购物,好评
260,刚开始用,中评
261,之前没在京东买过,中评
262,我喜欢,好评
263,相当差的购物,差评
264,我认为用不了多少东西他们报价太贵了,差评
265,我就纳闷了,中评
267,美滋滋,好评
268,非常信赖海尔得牌子,好评
269,因为我家一直都是用海尔得热水器,中评
270,是非常不错的,好评
271,也非常的稳定,好评
272,村里还是送不到,差评
273,待试用后再评价,中评
274,感觉还是可以的,中评
275,很愿意在京东购物,好评
276,还可以还可以还可以好快呀,中评
277,东东还是挺好的,好评
278,真心的挺好,好评
279,用了一段时间,中评
280,非常非常非常满意,好评
281,非常喜欢,好评
282,安装使用了,中评
283,希望直接好,中评
