id,category,dimension,sentence,emotion
1,彩电,服务,很快就安装好,好评
2,彩电,服务,安装也快,好评
3,彩电,服务,安装也很快,好评
4,彩电,服务,立马安装,好评
5,彩电,服务,中午安装师傅就来装好啦,好评
6,彩电,服务,送货安装都挺快的,好评
7,彩电,服务,售后安装很快,好评
8,彩电,服务,安装及时,好评
9,彩电,服务,售后安装很快,好评
10,彩电,服务,安装及时,好评
11,彩电,服务,下午安装,好评
12,彩电,服务,下午就安装好,好评
13,彩电,服务,二个小时后就上门安装了,好评
14,彩电,服务,预约安装也很快,好评
15,彩电,服务,安装及时,好评
16,彩电,服务,安装师傅也很及时,好评
17,彩电,服务,安装很快,好评
18,彩电,服务,送货安装都挺快的,好评
19,彩电,服务,送货安装都到位,好评
20,彩电,服务,下午就过来安装了,好评
21,彩电,服务,安装很及时,好评
22,彩电,服务,下午就安装好,好评
23,彩电,服务,上门安装速度快,好评
24,彩电,服务,下午安装,好评
25,彩电,服务,安装也很快,好评
26,彩电,服务,安装很给力,好评
27,彩电,服务,没人上门安装,差评
28,彩电,服务,没人上门安装,差评
29,彩电,服务,安装等了两天,差评
30,彩电,服务,还要等师傅来挂墙上,差评
31,彩电,服务,安装人员上门麻烦点,差评
32,彩电,服务,安装等了两天,差评
33,彩电,服务,安装服务跟不上,差评
34,彩电,服务,没有上门安装,差评
35,彩电,服务,送货师傅不肯安装要打电话报装,差评
36,彩电,服务,还没有上门安装,差评
37,彩电,服务,安装前就三番五次来电说过不来,差评
38,彩电,服务,快递送来没帮我们安装,差评
39,彩电,服务,没人上门安装,差评
40,彩电,服务,上门安装太拖拉,差评
41,彩电,服务,安装过程有点曲折,差评
42,彩电,服务,安装前就三番五次来电说过不来,差评
43,彩电,服务,上门安装太拖拉,差评
44,彩电,服务,迟迟没有人上门安装,差评
45,彩电,服务,安装过程有点曲折,差评
46,彩电,服务,安装等了两天,差评
47,彩电,服务,送货师傅不肯安装要打电话报装,差评
48,彩电,服务,还没有上门安装,差评
49,彩电,服务,所谓的安装人员到现在快十天了还不见人影呢,差评
50,彩电,服务,安装及时,好评
51,彩电,服务,安装也快,好评
52,彩电,服务,安装也很快,好评
53,彩电,服务,第三天师傅就来安装了,好评
54,彩电,服务,很快就安装好,好评
55,彩电,服务,下午安装,好评
56,彩电,服务,立马安装,好评
57,彩电,服务,安装也快,好评
58,彩电,服务,安装都很快速,好评
59,彩电,服务,下午安装,好评
60,彩电,服务,下午就安装好,好评
61,彩电,服务,安装及时,好评
62,彩电,服务,安装也及时,好评
63,彩电,服务,预约安装也很快,好评
64,彩电,服务,下午就安装好,好评
65,彩电,服务,安装师傅也快,好评
66,彩电,服务,下午安装,好评
67,彩电,服务,售后安装也很快,好评
68,彩电,服务,今天也安好了,好评
69,彩电,服务,安装也及时,好评
70,彩电,服务,立马安装,好评
71,彩电,服务,下午安装,好评
72,彩电,服务,下午安装,好评
73,彩电,服务,安装及时,好评
74,彩电,服务,安装也很快,好评
75,彩电,服务,安装也很及时,好评
76,彩电,服务,安装也很快,好评
77,彩电,服务,安装及时,好评
78,彩电,服务,安装及时,好评
79,彩电,服务,安装也很快,好评
80,彩电,服务,售后安装也很快,好评
81,彩电,服务,安装也很及时,好评
82,彩电,服务,迟迟没有人上门安装,差评
83,彩电,服务,安装过程有点曲折,差评
84,彩电,服务,安装等了两天,差评
85,彩电,服务,没人上门安装,差评
86,彩电,服务,上门安装太拖拉,差评
87,彩电,服务,唯一不足的是安装人员现在都还没有上门安装,差评
88,彩电,服务,安装人员上门麻烦点,差评
89,彩电,服务,所谓的安装人员到现在快十天了还不见人影呢,差评
90,彩电,服务,没人上门安装,差评
91,彩电,服务,安装服务跟不上,差评
92,彩电,服务,送货师傅不肯安装要打电话报装,差评
93,彩电,服务,快递送来没帮我们安装,差评
94,彩电,服务,没人上门安装,差评
95,彩电,服务,没人上门安装,差评
96,彩电,服务,上门安装太拖拉,差评
97,彩电,服务,迟迟没有人上门安装,差评
98,彩电,服务,所谓的安装人员到现在快十天了还不见人影呢,差评
99,彩电,服务,没人上门安装,差评
100,彩电,服务,下午就安装好,好评
101,彩电,服务,下午就安装好,好评
102,彩电,服务,安装也准时,好评
103,彩电,服务,安装也准时,好评
104,彩电,服务,安装也准时,好评
105,彩电,服务,安装也快,好评
106,彩电,服务,安装也快,好评
107,彩电,服务,安装很及时,好评
108,彩电,服务,安装很及时,好评
109,彩电,服务,安装很及时,好评
110,彩电,服务,下午就安装好,好评
111,彩电,服务,下午就安装好,好评
112,彩电,服务,安装及时,好评
113,彩电,服务,安装及时,好评
114,彩电,服务,安装很及时,好评
115,彩电,服务,安装很及时,好评
116,彩电,服务,下午就安装好,好评
117,彩电,服务,下午就安装好,好评
118,彩电,服务,安装也准时,好评
119,彩电,服务,安装也准时,好评
120,彩电,服务,送货安装都挺快的,好评
121,彩电,服务,送货安装都挺快的,好评
122,彩电,服务,安装小哥如约而至,好评
123,彩电,服务,安装小哥如约而至,好评
124,彩电,服务,回家就安装上,好评
125,彩电,服务,回家就安装上,好评
126,彩电,服务,立马安装,好评
127,彩电,服务,立马安装,好评
128,彩电,服务,安装也很及时,好评
129,彩电,服务,安装也很及时,好评
130,彩电,服务,上门安装速度快,好评
131,彩电,服务,上门安装速度快,好评
132,彩电,服务,上门安装速度快,好评
133,彩电,服务,下午就安装了,好评
134,彩电,服务,预约安装也很快,好评
135,彩电,服务,预约安装也很快,好评
136,彩电,服务,货到当天就来安装了,好评
137,彩电,服务,货到当天就来安装了,好评
138,彩电,服务,安装速度挺快,好评
139,彩电,服务,安装速度挺快,好评
140,彩电,服务,才安装,差评
141,彩电,服务,才安装,差评
142,彩电,服务,还没有人上门安装,差评
143,彩电,服务,还没有人上门安装,差评
144,彩电,服务,安装太慢了,差评
145,彩电,服务,安装太慢了,差评
146,彩电,服务,还没有人上门安装,差评
147,彩电,服务,还没有人上门安装,差评
148,彩电,服务,安装等了两天,差评
149,彩电,服务,安装等了两天,差评
150,彩电,服务,安装过程有点曲折,差评
151,彩电,服务,安装过程有点曲折,差评
152,彩电,服务,"售后安装很快,打了电话当天就来安装了",好评
153,彩电,服务,三星售后服务的安装师傅就来安装了,好评
154,彩电,服务,下午就安装好,好评
155,彩电,服务,安装及时,好评
156,彩电,服务,安装也很及时,好评
157,彩电,服务,售后安装也很快,好评
158,彩电,服务,下午安装,好评
159,彩电,服务,立马安装,好评
160,彩电,服务,送货安装都挺快的,好评
161,彩电,服务,安装速度挺快,好评
162,彩电,服务,预约安装也很快,好评
163,彩电,服务,安装很给力,好评
164,彩电,服务,安装也快,好评
165,彩电,服务,下午就安装了,好评
166,彩电,服务,第三天上门安装,好评
167,彩电,服务,安装师傅也很及时,好评
168,彩电,服务,当天下午售后给装好,好评
169,彩电,服务,送货安装都到位,好评
170,彩电,服务,立马安装,好评
171,彩电,服务,安装师傅也很及时,好评
172,彩电,服务,安装速度挺快,好评
173,彩电,服务,安装师傅超给力,好评
174,彩电,服务,当天就安装了,好评
175,彩电,服务,安装迅速,好评
176,彩电,服务,当天就安装了,好评
177,彩电,服务,下午就过来安装了,好评
178,彩电,服务,送货及安装的服务很有速度,好评
179,彩电,服务,送货及安装的服务很有速度,好评
180,彩电,服务,打电话第二天就来安装了,好评
181,彩电,服务,安装也很及时,好评
182,彩电,服务,第二天准时送到,好评
183,彩电,服务,安装也快,好评
184,彩电,服务,当天就安装了,好评
185,彩电,服务,安装也很及时,好评
186,彩电,服务,下午就来安装,好评
187,彩电,服务,安装迅速,好评
188,彩电,服务,隔天就装好,好评
189,彩电,服务,安装师傅很快就上门安装,好评
190,彩电,服务,马上就安装了,好评
191,彩电,服务,今天中午就装好了,好评
192,彩电,服务,安装及时,好评
193,彩电,服务,一上午全部搞定,好评
194,彩电,服务,下午安装,好评
195,彩电,服务,下午安装,好评
196,彩电,服务,预约安装也很快,好评
197,彩电,服务,安装很快,好评
198,彩电,服务,安装师傅也来的很快,好评
199,彩电,服务,安装也及时,好评
200,彩电,服务,送货安装一次到位,好评
201,彩电,服务,安装也快,好评
202,彩电,服务,一上午全部搞定,好评
203,彩电,服务,下午安装,好评
204,彩电,服务,立马安装,好评
205,彩电,服务,中午安装师傅就来装好啦,好评
206,彩电,服务,送货安装一次到位,好评
207,彩电,服务,安装很快,好评
208,彩电,服务,安装都很快速,好评
209,彩电,服务,安装也及时,好评
210,彩电,服务,上门安装速度快,好评
211,彩电,服务,下午安装,好评
212,彩电,服务,送货安装都挺快的,好评
213,彩电,服务,安装及时,好评
214,彩电,服务,今天到货就装上,好评
215,彩电,服务,立马安装,好评
216,彩电,服务,安装速度挺快,好评
217,彩电,服务,安装也快,好评
218,彩电,服务,第二天上午来人安装调试,好评
219,彩电,服务,下午就安装了,好评
220,彩电,服务,预约安装也很快,好评
221,彩电,服务,立马安装,好评
222,彩电,服务,上门安装速度快,好评
223,彩电,服务,第三天上门安装,好评
224,彩电,服务,快递上门安装一天搞定,好评
225,彩电,服务,下午就安装了,好评
226,彩电,服务,安装也很及时,好评
227,彩电,服务,安装都很快速,好评
