sentence_id,category,dimension,sentence,emotion
1,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใฟ์ฝÝ,บรฦภ
2,ฒสต็,ฒ๚ฦท,พฉถซนบฮ๏ทฝฑใฟ์ฝÝ,บรฦภ
3,ฒสต็,ฒ๚ฦท,ิฺพฉถซย๒ถซฮ๗ทฝฑใถเมห,บรฦภ
4,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใ,บรฦภ
5,ฒสต็,ฒ๚ฦท,นบฮ๏ฑศฝฯธ๘มฆ,ึะฦภ
6,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใ,บรฦภ
7,ฒสต็,ฒ๚ฦท,นบฮ๏ฑศฝฯย๚าโ,ึะฦภ
8,ฒสต็,ฒ๚ฦท,นบฮ๏ฑใฝÝ,บรฦภ
9,ฒสต็,ฒ๚ฦท,พฉถซนบฮ๏ฑใฝÝ,บรฦภ
10,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใ,บรฦภ
11,ฒสต็,ฒ๚ฦท,พฉถซนบฮ๏ทฝฑใ,บรฦภ
12,ฒสต็,ฒ๚ฦท,พฉถซนบฮ๏ทฝฑใ,บรฦภ
13,ฒสต็,ฒ๚ฦท,หีฤþนบฮ๏ทฝฑใ,บรฦภ
14,ฒสต็,ฒ๚ฦท,หีฤþาืนบย๒ถซฮ๗ทฝฑใำึทละฤ,บรฦภ
15,ฒสต็,ฒ๚ฦท,พฉถซนบฮ๏ทฝฑใ,บรฦภ
16,ฒสต็,ฒ๚ฦท,พฉถซย๒ถซฮ๗ทฝฑใ,บรฦภ
17,ฒสต็,ฒ๚ฦท,นบฮ๏ฑศฝฯย๚าโ,ึะฦภ
18,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใ,บรฦภ
19,ฒสต็,ฒ๚ฦท,พฉถซนบฮ๏ทฝฑใ,บรฦภ
20,ฒสต็,ฒ๚ฦท,หีฤþนบฮ๏ทฝฑใ,บรฦภ
21,ฒสต็,ฒ๚ฦท,นบฮ๏ฑศฝฯย๚าโ,ึะฦภ
22,ฒสต็,ฒ๚ฦท,ย๒ถซฮ๗ทฝฑใถเมห,บรฦภ
23,ฒสต็,ฒ๚ฦท,นบฮ๏ฑศฝฯย๚าโ,ึะฦภ
24,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใ,บรฦภ
25,ฒสต็,ฒ๚ฦท,นบฮ๏ทฝฑใ,บรฦภ
26,ฒสต็,ฒ๚ฦท,ย๒ถซฮ๗ทฝฑใ,บรฦภ
27,ฒสต็,ฒ๚ฦท,ธ฿วๅฦฌิดถเ,บรฦภ
28,ฒสต็,ฒ๚ฦท,รปำะฦฌิด,ฒ๎ฦภ
29,ฒสต็,ฒ๚ฦท,สำฦตืสิดทแธป,บรฦภ
30,ฒสต็,ฒ๚ฦท,ืสิดบÜถเ,บรฦภ
31,ฒสต็,ฒ๚ฦท,ฝฺฤฟบÜถเ,บรฦภ
32,ฒสต็,ฒ๚ฦท,ฦฌิดษู,ฒ๎ฦภ
33,ฒสต็,ฒ๚ฦท,ฦฌิดทแธป,บรฦภ
34,ฒสต็,ฒ๚ฦท,ฦฌิดทแธปธüะยฟ์,บรฦภ
